reference, api_endpoint
/api-platform-samples/sample-proxies/json-patch-app-services/apiproxy/proxies/default.xml,/json-patch-app-services
/api-platform-samples/sample-proxies/response-cache/apiproxy/proxies/default.xml,/cacheforecast
/api-platform-samples/edge-ux/proxy-to-target/apiproxy/proxies/default.xml,/v1/proxy-to-target
/api-platform-samples/doc-samples/hosted-targets/node-hosted-express/apiproxy/proxies/default.xml,/node-hosted-express
/api-platform-samples/sample-proxies/condition-pattern-matching/apiproxy/proxies/default.xml,/matchtest
/api-platform-samples/samplets/Extract-Variables/apiproxy/proxies/default.xml,/samplet-extract-variables
/api-platform-samples/sample-proxies/jira-release-notes/apiproxy/proxies/default.xml,/releasenotes
/api-platform-samples/doc-samples/hosted-targets/node-hosted-hello/apiproxy/proxies/default.xml,/node-hosted-hello
/api-platform-samples/sample-proxies/base64encoder/apiproxy/proxies/default.xml,/base64encoder
/api-platform-samples/doc-samples/java-hello/apiproxy/proxies/default.xml,/java-hello
/api-platform-samples/sample-proxies/kerberos-credential-mediation/apiproxy/proxies/default.xml,/v1/products
/api-platform-samples/default-proxies/helloworld/apiproxy/proxies/default.xml,/v0/hello
/api-platform-samples/edge-ux/fault-handling-apikey/apiproxy/proxies/default.xml,/v1/fault-handling-apikey
/api-platform-samples/sample-proxies/oauth-verify-accesstoken/apiproxy/proxies/default.xml,/mocktarget
/api-platform-samples/sample-proxies/simple-python/apiproxy/proxies/default.xml,/v1/python
/api-platform-samples/doc-samples/policy-mashup-cookbook/apiproxy/proxies/default.xml,/policy-mashup-cookbook
/api-platform-samples/sample-proxies/oauth-validate-key-secret/apiproxy/proxies/default.xml,/oauth-validate-key-secret
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/oauth2/apiproxy/proxies/default.xml,/oauth2
/api-platform-samples/learn-edge/apikey-security-2/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/doc-samples/javascript-mashup-cookbook/apiproxy/proxies/default.xml,/javascript-mashup-cookbook
/api-platform-samples/sample-proxies/apikey/apiproxy/proxies/default.xml,/mocktarget_key
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/webserver-app/apiproxy/proxies/default.xml,/web
/api-platform-samples/learn-edge/service-callout-1/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/iterate-headers/apiproxy/proxies/default.xml,/v1/iterate-headers
/api-platform-samples/sample-proxies/oauth10a-3legged/apiproxy/proxies/default.xml,/oauth1
/api-platform-samples/doc-samples/java-error/apiproxy/proxies/default.xml,/java-error
/api-platform-samples/learn-edge/extract-json-payload/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/doc-samples/nodejs-hello/apiproxy/proxies/default.xml,/nodejs-hello
/api-platform-samples/sample-proxies/oauth-client-credentials/apiproxy/proxies/default.xml,/oauth
/api-platform-samples/learn-edge/response-cache-1/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/edge-ux/enforce-quota-simple/apiproxy/proxies/default.xml,/v1/enforce-quota-simple
/api-platform-samples/learn-edge/apikey-security-1/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/doc-samples/java-cookbook/apiproxy/proxies/default.xml,java-cookbook
/api-platform-samples/doc-samples/nodejs-baas-cookbook/apiproxy/proxies/default.xml,/employees
/api-platform-samples/sample-proxies/soap/apiproxy/proxies/default.xml,/simplesoap
/api-platform-samples/doc-samples/java-properties/apiproxy/proxies/default.xml,/java-properties
/api-platform-samples/learn-edge/extract-json-payload-2/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/twitter-mobile-timeline/apiproxy/proxies/default.xml,/twitter-mobile-timeline/1
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/user-mgmt-v1/apiproxy/proxies/default.xml,/v1/users
/api-platform-samples/learn-edge/quota-1/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/doc-samples/javascript-cookbook/apiproxy/proxies/default.xml,/javascript-cookbook
/api-platform-samples/doc-samples/oauth-doc-examples/apiproxy/proxies/default.xml,/oauth-doc
/api-platform-samples/sample-proxies/conditional-policy/apiproxy/proxies/default.xml,/v1/timer
/api-platform-samples/sample-proxies/pagination/apiproxy/proxies/default.xml,/pagination
/api-platform-samples/learn-edge/response-cache-2/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/dynamic-endpoint/apiproxy/proxies/default.xml,/dynamic-endpoint
/api-platform-samples/edge-ux/basic-apikey-security/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/shared-flow/apiproxy/proxies/default.xml,/shared-flow-client-proxy
/api-platform-samples/learn-edge/fault-handling-2/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/login-app/apiproxy/proxies/default.xml,/loginapp
/api-platform-samples/learn-edge/proxy-to-a-target/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/xmltojson/apiproxy/proxies/default.xml,/v1/xmltojson
/api-platform-samples/sample-proxies/async-callout/apiproxy/proxies/default.xml,/async-callout
/api-platform-samples/sample-proxies/variables/apiproxy/proxies/default.xml,/variables
/api-platform-samples/learn-edge/service-callout-2/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/outbound-oauth/apiproxy/proxies/default.xml,/outbound-oauth
/api-platform-samples/sample-proxies/streaming/apiproxy/proxies/default.xml,/streaming
/api-platform-samples/sample-proxies/oauth-login-app/apiproxy/proxies/default.xml,/oauth
/api-platform-samples/learn-edge/extract-xml-payload/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/edge-ux/extract-json-payload/apiproxy/proxies/default.xml,/extract-json-payload
/api-platform-samples/sample-proxies/twitter-oembed/apiproxy/proxies/default.xml,/twitter-oembed
/api-platform-samples/learn-edge/fault-handling-1/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/advanced-api-services/token-gen/apiproxy/proxies/default.xml,/v1/datastore/token
/api-platform-samples/sample-proxies/graphql-sample/graphql-proxy/apiproxy/proxies/default.xml,/graphql
/api-platform-samples/learn-edge/simplest-proxy/apiproxy/proxies/default.xml,/v1/learn-edge
/api-platform-samples/sample-proxies/regex-protection/apiproxy/proxies/default.xml,/regex-protection
/api-platform-samples/sample-proxies/advanced-api-services/token-validate/apiproxy/proxies/default.xml,/v1/datastore
/api-platform-samples/sample-proxies/target-reroute/apiproxy/proxies/default.xml,/zip
/api-platform-samples/edge-ux/response-cache-simple/apiproxy/proxies/default.xml,/v1/response-cache-simple
/api-platform-samples/default-proxies/oauth/apiproxy/proxies/default.xml,/oauth/client_credential
/api-platform-samples/sample-proxies/access-entity/apiproxy/proxies/default.xml,/v1/access-entity
/api-platform-samples/sample-proxies/pagination/restaurant_locator_target/apiproxy/proxies/default.xml,/restaurant_locator
