reference, api_endpoint
/proxy/bazel-proxy/external/envoy/examples/csrf/crosssite/service.py,/
/proxy/bazel-proxy/external/envoy/examples/cors/backend/service.py,/cors/<status>
/envoy/examples/csrf/crosssite/service.py,/
/envoy/examples/cors/frontend/service.py,/
/proxy/bazel-proxy/external/envoy/examples/front-proxy/service.py,/service/<service_number>
/proxy/bazel-proxy/external/envoy/examples/front-proxy/service.py,/trace/<service_number>
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/login
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/api/v1/products
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/health
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/logout
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>/ratings
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>/reviews
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/productpage
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/src/productpage/productpage.py,/index.html
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/login
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/api/v1/products
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/health
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/logout
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>/ratings
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>/reviews
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/productpage
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/bookinfo/src/productpage/productpage.py,/index.html
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/helloworld/src/app.py,/health
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/helloworld/src/app.py,/hello
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/login
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/api/v1/products
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/health
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/logout
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>/ratings
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>/reviews
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/productpage
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/src/productpage/productpage.py,/index.html
/envoy/examples/csrf/samesite/service.py,/csrf/ignored
/envoy/examples/csrf/samesite/service.py,/
/envoy/examples/csrf/samesite/service.py,/csrf/<status>
/proxy/bazel-proxy/external/envoy/examples/cors/frontend/service.py,/
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/
