reference, api_endpoint
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*//c
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*//.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*//io.grpc/method
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,api.company.com//
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*//pasta
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*//lo.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*//lucky
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*//.well_known/foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*//http
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,foo.bar.com//foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/e2e/tests/pilot/testdata/ingress.yaml,*.baz.com//bar
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//logout
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//productpage
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//api/v1/products.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//login
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/galley/testdata/conversion/dataset/extensions/v1beta1/ingress_merge_0.yaml,foo.bar.com//bar
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/galley/testdata/conversion/dataset/extensions/v1beta1/ingress_merge_0.yaml,foo.bar.com//foo
/go/src/istio.io/istio/tests/integration/conformance/testdata/k8s/ingress/merge/stage0/input.yaml,foo.bar.com//bar
/go/src/istio.io/istio/tests/integration/conformance/testdata/k8s/ingress/merge/stage0/input.yaml,foo.bar.com//foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//logout
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//productpage
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//api/v1/products.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//login
/istio/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//logout
/istio/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//productpage
/istio/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//api/v1/products.*
/istio/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//login
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/tests/integration/conformance/testdata/k8s/ingress/merge/stage0/input.yaml,foo.bar.com//bar
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/tests/integration/conformance/testdata/k8s/ingress/merge/stage0/input.yaml,foo.bar.com//foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/istioctl/cmd/testdata/ingress/another-ingress.yaml,*//foo/bar/
/go/pkg/mod/istio.io/tools@v0.0.0-20191011195321-48af5d611ca2/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//lucky1
/go/pkg/mod/istio.io/tools@v0.0.0-20191011195321-48af5d611ca2/perf/stability/allconfig/templates/ingress.yaml,fortio.{{ .Values.domain }}//lucky2
/go/pkg/mod/istio.io/tools@v0.0.0-20191011195321-48af5d611ca2/perf/stability/allconfig/templates/ingress.yaml,fortiotls.{{ .Values.domain }}//foo
/go/pkg/mod/istio.io/tools@v0.0.0-20191011195321-48af5d611ca2/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//.*
/go/pkg/mod/istio.io/tools@v0.0.0-20191011195321-48af5d611ca2/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//b.*
/go/pkg/mod/istio.io/tools@v0.0.0-20191011195321-48af5d611ca2/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//c
/go/pkg/mod/istio.io/tools@v0.0.0-20191011195321-48af5d611ca2/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//io.grpc/method
/go/pkg/mod/istio.io/tools@v0.0.0-20191011195321-48af5d611ca2/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//.well_known/foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/integration/conformance/testdata/k8s/ingress/merge/stage0/input.yaml,foo.bar.com//bar
