reference, api_endpoint
/mdm-express-locallibrary-tutorial/app.js,/
/mdm-express-locallibrary-tutorial/app.js,//users
/mdm-express-locallibrary-tutorial/app.js,//catalog
/mdm-express-locallibrary-tutorial/app.js,//catalog/book/create
/mdm-express-locallibrary-tutorial/app.js,//catalog/book/create
/mdm-express-locallibrary-tutorial/app.js,//catalog/book/:id/delete
/mdm-express-locallibrary-tutorial/app.js,//catalog/book/:id/delete
/mdm-express-locallibrary-tutorial/app.js,//catalog/book/:id/update
/mdm-express-locallibrary-tutorial/app.js,//catalog/book/:id/update
/mdm-express-locallibrary-tutorial/app.js,//catalog/book/:id
/mdm-express-locallibrary-tutorial/app.js,//catalog/books
/mdm-express-locallibrary-tutorial/app.js,//catalog/author/create
/mdm-express-locallibrary-tutorial/app.js,//catalog/author/create
/mdm-express-locallibrary-tutorial/app.js,//catalog/author/:id/delete
/mdm-express-locallibrary-tutorial/app.js,//catalog/author/:id/delete
/mdm-express-locallibrary-tutorial/app.js,//catalog/author/:id/update
/mdm-express-locallibrary-tutorial/app.js,//catalog/author/:id/update
/mdm-express-locallibrary-tutorial/app.js,//catalog/author/:id
/mdm-express-locallibrary-tutorial/app.js,//catalog/authors
/mdm-express-locallibrary-tutorial/app.js,//catalog/genre/create
/mdm-express-locallibrary-tutorial/app.js,//catalog/genre/create
/mdm-express-locallibrary-tutorial/app.js,//catalog/genre/:id/delete
/mdm-express-locallibrary-tutorial/app.js,//catalog/genre/:id/delete
/mdm-express-locallibrary-tutorial/app.js,//catalog/genre/:id/update
/mdm-express-locallibrary-tutorial/app.js,//catalog/genre/:id/update
/mdm-express-locallibrary-tutorial/app.js,//catalog/genre/:id
/mdm-express-locallibrary-tutorial/app.js,//catalog/genres
/mdm-express-locallibrary-tutorial/app.js,//catalog/bookinstance/create
/mdm-express-locallibrary-tutorial/app.js,//catalog/bookinstance/create
/mdm-express-locallibrary-tutorial/app.js,//catalog/bookinstance/:id/delete
/mdm-express-locallibrary-tutorial/app.js,//catalog/bookinstance/:id/delete
/mdm-express-locallibrary-tutorial/app.js,//catalog/bookinstance/:id/update
/mdm-express-locallibrary-tutorial/app.js,//catalog/bookinstance/:id/update
/mdm-express-locallibrary-tutorial/app.js,//catalog/bookinstance/:id
/mdm-express-locallibrary-tutorial/app.js,//catalog/bookinstances
/node-express-realworld-example-app/routes/index.js,//api
/node-express-realworld-example-app/routes/index.js,//api/feed
/node-express-realworld-example-app/routes/index.js,//api
/node-express-realworld-example-app/routes/index.js,//api/:article
/node-express-realworld-example-app/routes/index.js,//api/:article
/node-express-realworld-example-app/routes/index.js,//api/:article
/node-express-realworld-example-app/routes/index.js,//api/:article/favorite
/node-express-realworld-example-app/routes/index.js,//api/:article/favorite
/node-express-realworld-example-app/routes/index.js,//api/:article/comments
/node-express-realworld-example-app/routes/index.js,//api/:article/comments
/node-express-realworld-example-app/routes/index.js,//api/:article/comments/:comment
/node-express-realworld-example-app/routes/index.js,//api/:username
/node-express-realworld-example-app/routes/index.js,//api/:username/follow
/node-express-realworld-example-app/routes/index.js,//api/:username/follow
/node-express-realworld-example-app/routes/index.js,//api
/node-express-realworld-example-app/routes/index.js,//api/user
/node-express-realworld-example-app/routes/index.js,//api/user
/node-express-realworld-example-app/routes/index.js,//api/users/login
/node-express-realworld-example-app/routes/index.js,//api/users
/api-platform-samples/doc-samples/hosted-targets/node-hosted-express/apiproxy/resources/hosted/index.js,/
/api-platform-samples/doc-samples/hosted-targets/node-hosted-express/apiproxy/resources/hosted/index.js,/hello/:name
/api-platform-samples/doc-samples/hosted-targets/node-hosted-custom-deps/myapp/index.js,/
/api-platform-samples/doc-samples/hosted-targets/node-hosted-custom-deps/myapp/index.js,/hello/:language
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/security/docker/app.js,/cert
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/security/docker/app.js,/key
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/security/docker/app.js,/root
/node_modules/sockjs/examples/express-3.x/server.js,/
/node_modules/sockjs/examples/multiplex/server.js,/
/node_modules/sockjs/examples/express/server.js,/
/node-js-express-tutorial/app.js,//items/add
/node-js-express-tutorial/app.js,//items/add/post
/node-js-express-tutorial/app.js,//items
/node-js-express-tutorial/app.js,//items/edit/:id
/node-js-express-tutorial/app.js,//items/update/:id
/node-js-express-tutorial/app.js,//items/delete/:id
/node-js-express-tutorial/app.js,/
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/login-app/apiproxy/resources/node/app.js,/login
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/login-app/apiproxy/resources/node/app.js,/login
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/login-app/apiproxy/resources/node/app.js,/consent
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/login-app/apiproxy/resources/node/app.js,/consent
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/login-app/apiproxy/resources/node/app.js,/register
/api-platform-samples/sample-proxies/oauth-advanced/app/templates/login-app/apiproxy/resources/node/app.js,/register
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/security/docker/app.js,/cert
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/security/docker/app.js,/key
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/security/docker/app.js,/root
/plesk-node-express/app.js,/
/plesk-node-express/app.js,//users
/go/src/istio.io/istio/security/docker/app.js,/cert
/go/src/istio.io/istio/security/docker/app.js,/key
/go/src/istio.io/istio/security/docker/app.js,/root
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/security/docker/app.js,/cert
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/security/docker/app.js,/key
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/security/docker/app.js,/root
/api-platform-samples/doc-samples/nodejs-baas-cookbook/apiproxy/resources/node/server.js,/
/api-platform-samples/doc-samples/nodejs-baas-cookbook/apiproxy/resources/node/server.js,/profiles
/api-platform-samples/doc-samples/nodejs-baas-cookbook/apiproxy/resources/node/server.js,/profiles
/node-express-realworld-example-app/node_modules/mongoose/examples/express/connection-sharing/app.js,/
/node-express-realworld-example-app/node_modules/mongoose/examples/express/connection-sharing/app.js,/insert
/node-express-realworld-example-app/node_modules/mongoose/examples/express/connection-sharing/app.js,/name
