reference, api_endpoint
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/TokensController.java,/internal/v1/tenants/{company}/integrations/{integrationid:[0-9]+}/tokens/{tokenid:[0-9]+}
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/TokensController.java,/internal/v1/tenants/{company}/integrations/{integrationid:[0-9]+}/tokens/list
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/LqlController.java,/internal/v1/lql/validate
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/SparkLoggingController.java,/internal/v1/tenants/{company}/spark/logging
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/TenantsController.java,/internal/v1/tenants/{company}
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/TenantsController.java,/internal/v1/tenants/list
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/WorkItemsController.java,/internal/v1/tenants/{company}/workitems/push
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/IntegrationsController.java,/internal/v1/tenants/{company}/integrations/{integrationid:[0-9]+}
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/IntegrationsController.java,/internal/v1/tenants/{company}/integrations/list
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/DatabaseSetupController.java,/internal/v1/_ensure_internal_schema
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/DatabaseSetupController.java,/internal/v1/_ensure_tenant_schema
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/TeamIntegrationsController.java,/internal/v1/tenants/{company}/integrations/{integrationid}/mappings/list
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/IntegrationDataPushController.java,/internal/v1/tenants/{company}/integrations/{integrationid}/push
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/ReleaseAggsPushController.java,/internal/v1/tenants/{company}/aggregations/releases/push
/sampleapi3/src/main/java/fo/foo/sampleapi3/controllers/ReleaseAggsPushController.java,/internal/v1/tenants/{company}/aggregations/releases/trigger
